SLIPID,SLIPTIMESTAMP,PLAYER_ID,CURRENTSF,LOGSF,STAKE,GGR,BETODD,SPORTNAMEENGLISH,LEAGUENAMEENGLISH,EVENTDESCRIPTION,GAMEDESCRIPTION,Market Name,Market Name Corners,RESULTDESCRIPTION,SRC_EVENT_ID,GOAL_EXP_HOME,GOAL_EXP_AWAY,DRAW_FACTOR,FIRST_HALF_GOALS_PERC,INJURY_TIME_1ST_HALF,INJURY_TIME_2ND_HALF,MINUTES,Data Set,Default 1st Half Injury Time,1st Half Injury Time change?,Magnitude of change,Magnitude of change relative,Concat
7821681513,0.0296875,704235552,0.01,1,2,-2.3,2.15,Football,Premier League,Newcastle United - AFC Bournemouth,AFC Bournemouth - Total Corners,Medium Dog - Total Corners,Medium Corner Dog - Total Corners,"Over 4,5",7531525,2.0674,1.1561,0.935,0.4387,4,7,11,Dynamic,4,No change in 1st Half Inj Time,0,0,"7531525Over 4,5Medium Dog - Total Corners"
7845122645,0.023356481,708162414,0.01,0.99,19.8,-69.3,4.5,Football,Premiership,Dundee United - Rangers FC,Total Corners,Total Corners,Total Corners,"Under 8,5",7537036,1.005,1.9132,0.9587,0.437,3,5,70,Dynamic,2,1st Half Inj Time increased,1,1,"7537036Under 8,5Total Corners"
7916730200,0.041643519,708089334,0.3,0.3,85.6928061,85.6928061,1.75,Football,UEFA Europa League,RSC Anderlecht - Fenerbahce SK,1st Half - Total Corners,1st Half - Total Corners,1st Half - Total Corners,"Over 2,5",7559929,1.4257,1.27,0.961,0.5149,2,5,39,Dynamic,2,1st Half Inj Time increased,1,1,"7559929Over 2,51st Half - Total Corners"
7752492905,0.004027778,703873569,0.01,0.99,69,69,2.05,Football,Championship,Sheffield Wednesday - Stoke City,Total Corners,Total Corners,Total Corners,"Under 11,5",7526961,1.0534,1.2346,0.9527,0.437,1,6,78,Dynamic,3,1st Half Inj Time decreased,2,-2,"7526961Under 11,5Total Corners"
7709833286,0.030590278,703684731,0.01,1,12.90854332,-15.49025198,2.2,Football,Ligue 1,AJ Auxerre - Paris Saint-Germain,AJ Auxerre - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Under 3,5",7520531,0.7353,2.4332,0.9443,0.3978,3,6,44,Dynamic,3,1st Half Inj Time decreased,2,-2,"7520531Under 3,5Strong Dog - Total Corners"
7669183555,0.027627315,703616235,0.3,0.3,54.77889696,54.77889696,3.5,Football,Liga Profesional de Futbol,CA Huracan - CA Boca Juniors,Total Corners,Total Corners,Total Corners,"Under 7,5",7515184,1.1392,0.8088,0.9591,0.5127,1,5,53,Dynamic,2,1st Half Inj Time increased,5,5,"7515184Under 7,5Total Corners"
7895132652,0.020451389,708092451,0.01,0.99,75,75,2.15,Football,Championship,Plymouth Argyle - Millwall,Plymouth Argyle - Total Corners,Slight Dog - Total Corners,Slight Corner Dog - Total Corners,"Under 1,5",7545631,0.7563,1.205,0.9423,0.3863,3,6,44,Dynamic,3,1st Half Inj Time decreased,2,-2,"7545631Under 1,5Slight Dog - Total Corners"
7923004196,0.040694444,709616079,0.01,1,88.694122,88.694122,1.71,Football,Serie A,Inter Milan - Genoa CFC,Genoa CFC - Total Corners,Strong Dog - Total Corners,Medium Corner Dog - Total Corners,"Under 3,5",7560746,2.2954,0.6545,0.9551,0.437,1,6,50,Dynamic,3,1st Half Inj Time decreased,2,-2,"7560746Under 3,5Strong Dog - Total Corners"
7812723607,0.027581019,701973153,0.01,0.01,2,2,3.9,Football,Bundesliga,VfL Wolfsburg - Borussia Monchengladbach,Total Corners,Total Corners,Total Corners,"Over 15,5",7531688,1.5275,1.1869,0.938,0.4058,3,6,49,Dynamic,3,No change in 1st Half Inj Time,0,0,"7531688Over 15,5Total Corners"
7624717765,0.021145833,700459735,0.01,1,27.07803875,27.07803875,1.42,Football,Brasileiro Serie A,SE Palmeiras SP - Gremio FB Porto Alegrense RS,Total Corners,Total Corners,Total Corners,"Under 12,5",7504424,1.9841,0.629,0.9786,0.3408,5,5,45,Dynamic,2,1st Half Inj Time increased,3,3,"7504424Under 12,5Total Corners"
7904612750,0.040509259,502930185,0.01,0.01,2,2,2.45,Football,Paulista Serie A1,Red Bull Bragantino SP - EC Noroeste Bauru SP,Total Corners,Total Corners,Total Corners,"Under 7,5",7557338,2.1326,0.6086,0.978,0.439,2,5,27,Dynamic,2,No change in 1st Half Inj Time,0,0,"7557338Under 7,5Total Corners"
7914217447,0.002986111,502930185,0.01,0.01,2,2,2.7,Football,Premier League,Aston Villa - Liverpool,Aston Villa - Total Corners,Medium Dog - Total Corners,Slight Corner Dog - Total Corners,"Under 3,5",7559813,1.026,1.9191,0.9666,0.437,3,7,74,Dynamic,4,1st Half Inj Time decreased,1,-1,"7559813Under 3,5Medium Dog - Total Corners"
7603012660,0.025104167,566225400,0.5,0.5,119.048325,119.048325,8,Football,Premier League,Nottingham Forest - West Ham United,Total Corners,Total Corners,Total Corners,"Under 12,5",6569825,1.5728,0.6934,0.9332,0.437,3,7,76,Dynamic,4,1st Half Inj Time decreased,1,-1,"6569825Under 12,5Total Corners"
7694345447,0.013553241,560527425,0.5,0.5,120.109463,120.109463,2.55,Football,Premier League,Liverpool - Manchester City,1st Half - Total Corners,1st Half - Total Corners,1st Half - Total Corners,"Over 5,5",7510208,1.8537,1.2984,0.9169,0.4448,4,7,19,Dynamic,4,1st Half Inj Time decreased,1,-1,"7510208Over 5,51st Half - Total Corners"
7733740331,0.032523148,703963807,0.01,0.99,39.6,39.6,2.3,Football,Championship,Coventry City - Hull City,Hull City - Total Corners,Strong Dog - Total Corners,Slight Corner Dog - Total Corners,"Under 1,5",7524174,2.1209,0.8324,0.9605,0.437,4,6,56,Dynamic,3,1st Half Inj Time increased,1,1,"7524174Under 1,5Strong Dog - Total Corners"
7861472966,0.001226852,708714202,0.01,1,343.28364,-243.7313844,1.71,Football,Bundesliga,VfB Stuttgart - Borussia Monchengladbach,Total Corners,Total Corners,Total Corners,"Under 2,5",7537381,2.0756,1.2301,0.9504,0.437,1,6,73,Dynamic,3,1st Half Inj Time decreased,2,-2,"7537381Under 2,5Total Corners"
7744889975,0.0046875,704220202,0.3,0.3,0.53505415,-0.64206498,2.2,Football,FIFA Intercontinental Cup,Real Madrid - CF Pachuca,CF Pachuca - Total Corners,Strong Dog - Total Corners,Strong Corner Dog - Total Corners,"Over 4,5",7529346,2.6957,0.6769,0.9654,0.437,1,5,48,Dynamic,2,1st Half Inj Time decreased,1,-1,"7529346Over 4,5Strong Dog - Total Corners"
7817410917,0.034502315,566225736,0.5,0.5,83.0665577,83.0665577,1.95,Football,Premier League,Manchester United - Southampton FC,Manchester United - Total Corners,Strong Jolly - Total Corners,Medium Corner Jolly - Total Corners,"Over 7,5",7531148,2.6335,0.7598,0.9626,0.4767,1,7,45,Dynamic,4,1st Half Inj Time decreased,3,-3,"7531148Over 7,5Strong Jolly - Total Corners"
7757613756,0.015868056,701347240,0.3,0.3,1.75,-0.42,1.24,Football,Serie A,Atalanta BC - Empoli FC,Total Corners,Total Corners,Total Corners,"Over 7,5",7527338,2.5256,0.6102,0.9391,0.4468,3,6,22,Dynamic,3,1st Half Inj Time decreased,1,-1,"7527338Over 7,5Total Corners"
7882234952,0.009756944,708543787,0.3,0.3,1.663341,-1.58017395,1.95,Football,Serie A,Empoli FC - AC Milan,Most Corners,Most Corners,Most Corners,AC Milan,7544053,1.0475,1.9114,0.9207,0.4432,3,6,12,Dynamic,3,No change in 1st Half Inj Time,0,0,7544053AC MilanMost Corners
